Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701



호텔 더 호텔(성인 전용)(HOTEL THE HOTEL SHINJUKU (Adult Only)),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-12-10 일본,6.7,101209,0,0,0,101209,101209,101209,101209,0,0,0,101209,101209,101209,101209,0,0,0,101209,101209,330041,272218,0,0,0,112642,201147,156197,747699,0,0



아파 호텔 히가시 신주쿠 가부키초(APA Hotel Higashi Shinjuku Kabukicho),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-19-14 일본,7.5,137048,148312,195246,137048,114519,137048,137048,148312,0,189389,125784,125784,0,0,0,0,195246,125784,114519,125784,149399,167086,1014167,700335,84482,423159,993883,423159,993883,331121,337878



게이오 플라자 호텔 도쿄(Keio Plaza Hotel Tokyo),160-8330 도쿄 도 Shinjuku-ku Nishishinjuku 2-2-1 일본,8.4,593718,605601,928790,546220,629350,629350,0,0,629350,668051,546220,546220,569969,558095,569969,0,688712,534346,546220,569969,276720,993883,339938,317754,336853,114519,128351,125784,356700,140803,630681



힐튼 도쿄 호텔(Hilton Tokyo Hotel),160-0023 도쿄 도 Shinjuku-ku Nishishinjuku 6-6-2 일본,8.3,544964,0,630681,587827,544964,544964,544964,544964,0,0,657472,0,0,0,0,0,630681,587827,544964,0,0,159576,202568,280321,75095,298168,89175,187737,993883,249039,993883



yksi SAUNA & STAY,160-0023 도쿄 도 7-16-2 일본,8.7,210725,210725,0,124519,162833,162833,0,191568,0,0,210725,0,0,191568,153255,0,0,0,0,153255,234296,153255,0,0,246987,133762,367213,239460,201147,0,0



Hotel Matsunoi,160-0073 도쿄 도 Shinjuku-ku Hyakunincho 1-7-19  일본,8.4,140427,0,0,148688,140427,140427,140427,140427,115646,0,148688,140427,140427,0,0,115646,0,115646,140427,140427,239077,501200,316087,0,197124,728189,176166,220303,129538,0,0



오다큐 호텔 센츄리 서던 타워(Odakyu Hotel Century Southern Tower),151-8583 도쿄 도 Shibuya-ku Yoyogi 2-2-1 일본,8.7,571659,571659,0,378571,0,435362,401287,355855,355855,0,333139,333139,0,0,412645,412645,0,333139,333139,0,166894,0,271950,0,225093,105133,220303,129538,131416,0,0



아파트 호텔 신주쿠(Apartment Hotel Shinjuku),160-0022 도쿄 도 Shinjuku-ku Shinjuku 4-4-10 일본,7.4,127074,127074,0,127074,127074,127074,127074,127074,127074,0,127074,127074,127074,127074,127074,127074,0,0,127074,127074,162833,272218,350035,771842,252529,227152,161078,107902,187925,0,0



니시테츠 인 신주쿠(Nishitetsu Inn Shinjuku),160-0023 도쿄 도 Shinjuku-ku Nishishinjuku 7-23-2 일본,8.3,300379,272218,300379,281605,248751,253445,262832,253445,281605,282262,234671,234671,220591,234671,0,220591,290992,234671,248751,234671,244067,1014167,993883,373371,336853,114519,330041,125784,356700,143676,331121



Tokyu Stay Yotsuya,160-0004 도쿄 도 Shinjuku-ku Yotsuya 2-1 일본,7.9,241617,251380,270904,217211,0,241617,241617,0,0,329063,217211,0,0,0,0,0,311530,258213,224533,0,131416,159576,280321,281605,143741,84482,993883,277944,277944,236971,145731



호텔 리스텔 신주쿠(Hotel Listel Shinjuku),160-0022 도쿄 도 Shinjuku-ku Shinjuku 5-3-20  일본,7.4,112642,122029,178350,112642,112642,131416,131416,0,140803,0,112642,0,131416,131416,131416,140803,0,112642,112642,131416,134098,167086,141952,236008,220303,128600,993883,423159,993883,268885,375605



파크 하얏트 도쿄(Park Hyatt Tokyo),163-1055 도쿄 도 Shinjuku-ku Nishishinjuku 3-7-1-2 일본,9.2,1821138,1744803,1908378,1679373,1777518,1733898,1788423,1646658,0,1886568,1766613,0,0,0,0,0,1821138,1592133,1592133,1679373,238502,170496,110765,306386,84482,0,287352,277944,156197,275858,269153



호텔 빌라 폰테인 도쿄-신주쿠(Hotel Villa Fontaine Tokyo-Shinjuku),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-40-9 일본,7.9,136672,153756,0,127849,127849,136672,195622,136672,0,0,127849,145121,136672,136672,136672,153756,175909,127849,127849,136672,159576,151231,357179,141952,257683,107902,164365,199395,191760,0,0



신주쿠 시티 호텔 N.U.T.S 도쿄(Shinjuku City Hotel N.U.T.S Tokyo),160-0022 도쿄 도 Shinjuku-ku Shinjuku 1-16-5 일본,7.7,136109,165208,0,0,123906,135170,171779,188675,165208,0,123906,123906,123906,152067,164270,180227,0,123906,0,136109,159576,277774,350035,0,252529,124519,161078,110104,187925,0,0



