index,Hotel Name,Date,Day,Hotel Score,Hotel Score Round,Price
219,ホテルパセラリビング東新宿,2023-06-02,금,8.5,8,387734
220,호텔 록스(Hotel Rocks),2023-06-02,금,5.5,6,204633
221,호텔 뉴 쇼헤이(Hotel New Shohei),2023-06-02,금,8.0,8,225284
222,게이오 프라자 호텔 도쿄 프리미어 그랜드 (Keio Plaza Hotel Tokyo Premier Grand),2023-06-02,금,8.9,9,747699
223,게이오 플라자 호텔 도쿄(Keio Plaza Hotel Tokyo),2023-06-02,금,8.4,8,605601
224,오다큐 호텔 센츄리 서던 타워(Odakyu Hotel Century Southern Tower),2023-06-02,금,8.7,9,571659
225,Okubo Hotel Hawaii,2023-06-02,금,7.8,8,112642
226,yksi SAUNA & STAY,2023-06-02,금,8.7,9,210725
227,호텔 엠파이어 인 신주쿠(Hotel Empire in Shinjuku),2023-06-02,금,6.1,6,107949
228,SHINJUKU WARM VILLA I,2023-06-02,금,7.7,8,261893
229,City Hotel Southern Cross,2023-06-02,금,6.2,6,98562
230,Pod Select Hotel Shinjuku,2023-06-02,금,6.8,7,215428
231,The OneFive Tokyo Shibuya,2023-06-03,토,7.8,8,384190
232,더 밀레니얼스 시부야(The Millennials Shibuya),2023-06-03,토,8.6,9,549130
233,시부야 스트림 엑셀 호텔 도큐(Shibuya Stream Excel Hotel Tokyu),2023-06-03,토,8.7,9,331413
234,Hotel Wing International Premium Shibuya,2023-06-03,토,8.0,8,324785
235,아파 호텔 시부야 도겐자카(APA Hotel Shibuya Dogenzakaue),2023-06-03,토,7.3,7,376506
236,시부야 호텔 엔(Shibuya Hotel En),2023-06-03,토,7.8,8,376506
237,시부야 그랑벨 호텔(Shibuya Granbell Hotel),2023-06-03,토,7.4,7,425722
238,시부야 엑셀 호텔 도큐(Shibuya Excel Hotel Tokyu),2023-06-03,토,8.4,8,368621
239,트렁크 (호텔)(TRUNK (HOTEL)),2023-06-03,토,8.8,9,368621
240,토큐 스테이 시부야 신미나미구치(Tokyu Stay Shibuya Shin-Minamiguchi),2023-06-03,토,7.9,8,376144
241,시부야 크레스톤 호텔(Shibuya Creston Hotel),2023-06-03,토,8.0,8,324785
242,Hotel DIAMOND,2023-06-03,토,7.4,7,549130
243,SALON Shibuya,2023-06-03,토,7.4,7,417207
244,Tabist Hotel New Washington Shibuya,2023-06-03,토,6.6,7,417207
245,The Millennials Shibuya / Vacation STAY 80745,2023-06-03,토,8.0,8,435643
246,The Millennials Shibuya / Vacation STAY 80776,2023-06-03,토,8.2,8,435643
247,Prince Smart Inn Ebisu,2023-06-03,토,8.0,8,643669
248,도미 인 익스프레스 메구로 아오바다이 핫 스프링(Dormy Inn Express Meguro Aobadai Hot Spring),2023-06-03,토,8.2,8,630796
249,THE AOYAMA GRAND HOTEL,2023-06-03,토,9.2,9,598467
250,Act Hotel Shibuya,2023-06-03,토,8.2,8,6726341
251,Olympic Inn Shibuya,2023-06-03,토,6.9,7,598467
252,remm Roppongi,2023-06-03,토,8.5,8,1378739
253,아파 호텔 롯폰기 에키마에(APA Hotel Roppongi Ekimae),2023-06-03,토,7.6,8,149423
254,호텔 알라만다 아오야마 도쿄(Hotel Allamanda Aoyama Tokyo),2023-06-03,토,8.6,9,1378739
255,액트 호텔 롯폰기(Act Hotel Roppongi),2023-06-03,토,8.1,8,466338
256,HOTELみなと-MINATO-,2023-06-03,토,9.1,9,146435
257,Meguroholic Hotel,2023-06-03,토,7.6,8,373698
258,그랜드 하얏트 도쿄(Grand Hyatt Tokyo),2023-06-03,토,8.7,9,146435
259,롯폰기 호텔 에스(Roppongi Hotel S),2023-06-03,토,8.3,8,475855
