,Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730
30,remm Roppongi,106-0032 도쿄 도  Minato-ku Roppongi 7-14-4  일본,8.5,0,0,1378739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649194,460434,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,아파 호텔 롯폰기 에키마에(APA Hotel Roppongi Ekimae),106-0032 도쿄 도  MInato-ku  Roppongi 6-7-8  일본,7.6,0,0,149423,0,0,0,0,0,0,597693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466338,451225,0,0,0.0,0.0,0.0,0.0,848168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,호텔 알라만다 아오야마 도쿄(Hotel Allamanda Aoyama Tokyo),107-0061 도쿄 도  Minato-ku Kita Aoyama 2-7-13  일본,8.6,0,0,1378739,0,0,0,0,0,0,585739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146435,280667,0,0,0.0,0.0,0.0,0.0,653089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,액트 호텔 롯폰기(Act Hotel Roppongi),106-0032 도쿄 도  Minato-ku Roppongi 7-17-15  일본,8.1,0,0,466338,0,0,0,0,0,0,531671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717155,653089,0,0,0.0,0.0,0.0,0.0,555720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,HOTELみなと-MINATO-,106-0031 도쿄 도  港区西麻布1-13-17  일본,9.1,0,0,146435,0,0,0,0,0,0,321835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695392,848168,0,0,0.0,0.0,0.0,0.0,831205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Meguroholic Hotel,153-0063 도쿄 도  Meguro-ku Meguro 1-3-14  일본,7.6,0,0,373698,0,0,0,0,0,0,979986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466338,391854,0,0,0.0,0.0,0.0,0.0,585739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,그랜드 하얏트 도쿄(Grand Hyatt Tokyo),106-0032 도쿄 도  Minato-ku Roppongi 6-10-3   일본,8.7,0,0,146435,0,0,0,0,0,0,315398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681485,831205,0,0,0.0,0.0,0.0,0.0,399851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,롯폰기 호텔 에스(Roppongi Hotel S),106-0031 도쿄 도  Minato-ku  Nishiazabu 1-11-6  일본,8.3,0,0,475855,0,0,0,0,0,0,315398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681485,831205,0,0,0.0,0.0,0.0,0.0,391854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,사쿠라 호텔 하타가야(Sakura Hotel Hatagaya),151-0072 도쿄 도  Shibuya-ku  Hatagaya 1-32-3  일본,7.1,0,0,373698,0,0,0,0,0,0,145496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649194,451225,0,0,0.0,0.0,0.0,0.0,666418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,The Westin Tokyo,153-8580 도쿄 도  Meguro-ku  Mita 1-4-1  일본,8.7,0,0,466338,0,0,0,0,0,0,555720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598467,598467,0,0,0.0,0.0,0.0,0.0,555720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
