Hotel Name,mean_price,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
소테츠 프레사 인 하마마츠초 다이몬(Sotetsu Fresa Inn Hamamatsucho-Daimon),195559.0,72.0,26290.0,11.0,32.0,4111.0,4.0
LOF HOTEL Shimbashi,216783.0,70.0,26290.0,12.0,41.0,4111.0,11.0
호텔 더 셀레스틴 도쿄 시바(Hotel The Celestine Tokyo Shiba),232307.0,76.0,26577.0,13.0,32.0,4111.0,6.0
호텔 페리에(성인 전용)(HOTEL PERRIER (Adult Only)),431441.0,82.0,26672.0,15.0,61.0,14436.0,6.0
Bespoke Hotel Shinjuku,269732.0,81.0,26672.0,14.0,60.0,14436.0,6.0
KEIKYU EX INN Hamamatsucho Daimon-Station,351087.0,69.0,26290.0,8.0,30.0,4111.0,2.0
Shinagawa Prince Hotel N Tower,327163.0,70.0,31070.0,6.0,24.0,2868.0,4.0
Pullman Tokyo Tamachi,637483.0,68.0,26577.0,5.0,31.0,4111.0,5.0
Rose Stay Tokyo Shiba Park,316591.0,76.0,26577.0,13.0,33.0,4111.0,7.0
Hotel Balian Resort Higashi Shinjuku (Adult Only),246119.0,80.0,26290.0,14.0,58.0,4876.0,14.0
HOTEL LiVEMAX Shinjuku Kabukicho-Meijidori,313900.0,80.0,26672.0,13.0,61.0,14436.0,6.0
Okubo Hotel Hawaii,198196.0,73.0,26290.0,7.0,51.0,4876.0,7.0
게이오 프레소 인 하마마츠쵸 (Keio Presso Inn Hamamatsucho),182085.0,72.0,26290.0,11.0,33.0,4111.0,5.0
토큐 스테이 고탄다(Tokyu Stay Gotanda),451237.0,78.0,27246.0,6.0,35.0,4111.0,3.0
HOTEL LiVEMAX Shinjuku EAST,265519.0,79.0,26672.0,12.0,64.0,14436.0,6.0
The Tokyo EDITION  Toranomon,205887.0,81.0,26577.0,10.0,49.0,5640.0,4.0
HOTEL D-WAVE Shinjuku（Adult Only),174255.0,84.0,26577.0,15.0,60.0,14436.0,8.0
The Okura Tokyo,251837.0,85.0,33078.0,9.0,36.0,4876.0,6.0
더 프린스 갤러리 도쿄 쿄이초  어 럭셔리 컬렉션 호텔(The Prince Gallery Tokyo Kioicho  a Luxury Collection Hotel),298871.0,82.0,26577.0,12.0,50.0,5640.0,13.0
헌드레드 스테이 도쿄 신주쿠(Hundred Stay Tokyo Shinjuku),411111.0,76.0,26290.0,10.0,54.0,4876.0,10.0
더 프린스 사쿠라 타워 도쿄  오토그래프 컬렉션(The Prince Sakura Tower Tokyo  Autograph Collection),422933.0,73.0,31070.0,9.0,26.0,2868.0,6.0
THE KITANO HOTEL TOKYO,504449.0,74.0,28011.0,10.0,50.0,5640.0,9.0
더 캐피톨 호텔 도큐(The Capitol Hotel Tokyu),351027.0,79.0,26577.0,11.0,47.0,5640.0,12.0
HOTEL LiVEMAX BUDGET Shinbashi,261482.0,71.0,26290.0,13.0,36.0,4111.0,8.0
Akasaka Urban Hotel Annex,371132.0,76.0,26577.0,8.0,44.0,5640.0,9.0
Shinagawa Prince Hotel East Tower,327860.0,71.0,31070.0,7.0,24.0,2868.0,4.0
HOTEL LiVEMAX Shinjuku Kabukicho,374453.0,77.0,26290.0,13.0,57.0,4876.0,13.0
오야도 고코치(Oyado Cocochi),269496.0,71.0,26290.0,5.0,49.0,4876.0,5.0
Time Camp Takanawa 4F - Vacation STAY 81487v,456136.0,74.0,32408.0,5.0,26.0,2868.0,2.0
SHINJUKU WARM VILLA I,575434.0,74.0,26290.0,8.0,52.0,4876.0,8.0
＃３４ SHINJUKU RION HOTEL,509382.0,81.0,26672.0,14.0,64.0,14436.0,6.0
五反田BaliBaliANNEX,493109.0,79.0,27246.0,7.0,36.0,4111.0,4.0
SHINJUKU WARM HOUSE,286169.0,79.0,26290.0,13.0,57.0,4876.0,13.0
The Okura Heritage Tokyo,379478.0,80.0,26577.0,14.0,51.0,5640.0,7.0
Nano North Shinjuku Apartment,192423.0,82.0,26577.0,13.0,55.0,4876.0,13.0
Hotel Koryukaku,243982.0,77.0,26290.0,11.0,55.0,4876.0,11.0
Keio Presso Inn Gotanda,355343.0,80.0,27246.0,8.0,36.0,4302.0,9.0
호텔 뉴 쇼헤이(Hotel New Shohei),329976.0,68.0,26290.0,8.0,56.0,6214.0,9.0
신주쿠 어반 호텔(Shinjuku Urban Hotel),455602.0,85.0,26577.0,16.0,62.0,14436.0,7.0
신주쿠 이스트 호텔 (Shinjuku East Hotel),497789.0,81.0,26672.0,14.0,62.0,14436.0,7.0
안다즈 도쿄 - 컨셉 바이 하얏트 (Andaz Tokyo - A Concept by Hyatt),347993.0,79.0,26577.0,13.0,48.0,4111.0,18.0
The Royal Park Hotel Iconic Tokyo Shiodome,184278.0,66.0,26290.0,8.0,35.0,4111.0,5.0
